DHB,Population,Naive,Rv,Vacc,New_naive,Rv_new
Auckland,436350,47930,1.41,13840.00,34090,1.00
Bay of Plenty,206000,19642,1.22,3548.00,16094,1.00
Canterbury,482180,48190,1.28,10520.00,37670,1.00
Capital and Coast,283700,30414,1.37,8250.00,22164,1.00
Counties Manukau,469300,52672,1.44,16008.00,36664,1.00
Hawke's Bay,151700,14842,1.25,2991.00,11851,1.00
Hutt Valley,138380,14288,1.32,3477.00,10811,1.00
Lakes,98196,10015,1.31,2343.00,7672,1.00
MidCentral,162560,16432,1.29,3732.00,12700,1.00
Nelson Marlborough,137000,12320,1.15,1617.00,10703,1.00
Northland,151690,14257,1.20,2407.00,11850,1.00
South Canterbury,55620,4949,1.14,604.00,4345,1.00
Southern,297420,29797,1.28,6561.00,23236,1.00
Tairawhiti,43650,4557,1.34,1147.00,3410,1.00
Taranaki,109750,10821,1.26,2247.00,8574,1.00
Waikato,359310,37303,1.33,9232.00,28071,1.00
Wairarapa,41112,3744,1.17,532.00,3212,1.00
Waitemata,525550,54788,1.33,13729.00,41059,1.00
West Coast,32151,3009,1.20,497.00,2512,1.00
Whanganui,60120,5772,1.23,1075.00,4697,1.00
Total,4241739,435742,1.31,104357.00,331385,1.00
